model_name,query_id,doc_id,latency_seconds,input_tokens,output_tokens,reasoning_tokens,inference_speed_tps,cost_dollars
glm-5.1,eb5ee053,astma_bij_volwassenen,41.1875,620,1643,0,39.89,0.00567
glm-5.1,caff826d,chronische nierschade,49.3745,130,1942,0,39.33,0.00611
glm-5.1,4ccc9a12,angst,46.2542,1018,2220,0,48.0,0.00784
glm-5.1,09710fd9,diabetes,60.3507,64,1347,0,22.32,0.00421
glm-5.1,c780106c,hand-en-polsklachten,48.3011,2343,1999,0,41.39,0.00845
glm-5.1,c5f2913c,influenza,28.5068,1482,1411,0,49.5,0.00580
glm-5.1,383c5bac,chronische nierschade,26.0317,100,1541,0,59.2,0.00484
glm-5.1,3f11830b,diabetes,23.9377,923,1406,0,58.74,0.00524
glm-5.1,84e15b72,hartfalen,45.1578,1218,2054,0,45.48,0.00752
glm-5.1,7a55ed27,hartfalen,20.8228,1364,680,0,32.66,0.00343
glm-5.1,930c1e07,astma_bij_volwassenen,27.8618,107,2158,0,77.45,0.00675
glm-5.1,dfbb4872,COPD,20.3812,14977,953,0,46.76,0.01761
glm-5.1,113649aa,influenza,24.1408,1504,886,0,36.7,0.00420
glm-5.1,b482b35e,dementie,9.721,2433,1084,0,111.51,0.00572
glm-5.1,8d856f4e,COPD,39.3067,2680,1265,0,32.18,0.00652
glm-5.1,b5c1618d,diabetes,12.9688,1334,785,0,60.53,0.00373
glm-5.1,dd9cbc5c,astma_bij_volwassenen,26.8088,2131,1790,0,66.77,0.00760
glm-5.1,a747bc19,hartfalen,22.3698,6835,998,0,44.61,0.00977
glm-5.1,6f8e9889,influenza,23.3264,3550,1243,0,53.29,0.00731
glm-5.1,fb99be4b,depressie,42.8352,1243,1131,0,26.4,0.00470
glm-5.1,e33b6173,angst,24.5758,1220,1471,0,59.86,0.00573
glm-5.1,63d4ebcb,hand-en-polsklachten,13.2545,1006,1896,0,143.05,0.00683
glm-5.1,f2cbc529,diabetes,27.3092,1156,1003,0,36.73,0.00422
glm-5.1,57cb4b4d,dementie,60.4396,1310,1904,0,31.5,0.00715
glm-5.1,11d04754,astma_bij_volwassenen,59.008,1941,1543,0,26.15,0.00665
glm-5.1,8c6f88fe,COPD,77.7107,90,2027,0,26.08,0.00633
glm-5.1,0290f131,hartfalen,43.0204,244,1292,0,30.03,0.00422
glm-5.1,4dacf62f,dementie,24.6887,1796,1271,0,51.48,0.00567
glm-5.1,10dfb0bc,influenza,43.2142,86,2192,0,50.72,0.00684
glm-5.1,4913279e,angst,23.5206,819,1934,0,82.23,0.00676
glm-5.1,158f96a9,hand-en-polsklachten,16.6366,4118,1451,0,87.22,0.00850
glm-5.1,9ba97f38,hartfalen,18.1403,1904,1048,0,57.77,0.00509
glm-5.1,a7b42c6f,diabetes,61.2766,3221,2460,0,40.15,0.01073
glm-5.1,773a6531,diabetes,34.1082,894,1806,0,52.95,0.00644
glm-5.1,d708fae5,dementie,51.7359,78,2037,0,39.37,0.00635
glm-5.1,877cc019,COPD,15.3592,1715,874,0,56.9,0.00437
glm-5.1,b068643b,astma_bij_volwassenen,56.1017,75,2487,0,44.33,0.00773
glm-5.1,b6e81b27,hartfalen,42.7379,2315,2544,0,59.53,0.01010
glm-5.1,fd9d1d3e,astma_bij_volwassenen,109.2018,3287,1976,0,18.09,0.00931
glm-5.1,e8466ecc,astma_bij_volwassenen,29.356,1426,2201,0,74.98,0.00818
glm-5.1,16da4c93,diabetes,24.075,2945,1114,0,46.27,0.00632
glm-5.1,aa2c9c88,angst,54.4816,812,2596,0,47.65,0.00879
glm-5.1,b6853644,hand-en-polsklachten,25.6197,697,1377,0,53.75,0.00492
glm-5.1,20241acd,hartfalen,34.6714,1143,1219,0,35.16,0.00487
glm-5.1,b576d4ae,dementie,35.4499,840,1245,0,35.12,0.00466
glm-5.1,b23e25ea,diabetes,33.2481,1123,1789,0,53.81,0.00661
glm-5.1,950c5bfa,angst,23.5683,198,1209,0,51.3,0.00392
glm-5.1,d2628eef,hartfalen,9.2377,1140,1301,0,140.84,0.00512
glm-5.1,b95b62f2,diabetes,11.6025,1213,2004,0,172.72,0.00736
glm-5.1,38df2a02,dementie,21.182,86,2317,0,109.39,0.00722
glm-5.1,d5728205,astma_bij_volwassenen,49.1947,3848,1532,0,31.14,0.00849
glm-5.1,fbf79128,astma_bij_volwassenen,40.4476,709,967,0,23.91,0.00367
glm-5.1,fcbd5e0d,depressie,76.5183,1517,2071,0,27.07,0.00787
glm-5.1,4eccf8b0,hartfalen,21.1229,1365,1006,0,47.63,0.00444
glm-5.1,0f13df4d,hand-en-polsklachten,46.7974,1105,1606,0,34.32,0.00603
glm-5.1,14876b80,dementie,26.8569,2649,1339,0,49.86,0.00672
glm-5.1,e1056361,depressie,73.4432,2071,1479,0,20.14,0.00658
glm-5.1,b9b4bc11,hand-en-polsklachten,15.6241,1093,1605,0,102.73,0.00601
