model_name,query_id,doc_id,latency_seconds,input_tokens,output_tokens,reasoning_tokens,inference_speed_tps,cost_dollars
glm-5.1,7d1a6b07,astma_bij_volwassenen,40.4887,527,1632,0,40.31,0.00554
glm-5.1,11d04754,astma_bij_volwassenen,26.8149,1941,1576,0,58.77,0.00676
glm-5.1,c144cce7,astma_bij_volwassenen,28.8537,668,1723,0,59.72,0.00596
glm-5.1,e8466ecc,astma_bij_volwassenen,28.9774,1426,2010,0,69.36,0.00759
glm-5.1,ae0f75b7,astma_bij_volwassenen,39.0962,1991,2002,0,51.21,0.00812
glm-5.1,2df177a8,astma_bij_volwassenen,52.9075,609,862,0,16.29,0.00325
glm-5.1,4da534ba,astma_bij_volwassenen,26.5749,1921,1276,0,48.02,0.00581
glm-5.1,632e9c57,astma_bij_volwassenen,22.5578,467,1194,0,52.93,0.00414
glm-5.1,2fe356e8,astma_bij_volwassenen,108.8698,365,1822,0,16.74,0.00597
glm-5.1,e50fb7a5,astma_bij_volwassenen,4.5353,1834,815,0,179.7,0.00431
glm-5.1,c05e081b,astma_bij_volwassenen,28.1073,858,1283,0,45.65,0.00479
glm-5.1,0bd5271f,astma_bij_volwassenen,49.4296,2864,1047,0,21.18,0.00603
glm-5.1,b2ff6f13,astma_bij_volwassenen,33.0332,1322,1039,0,31.45,0.0045
glm-5.1,930c1e07,astma_bij_volwassenen,44.7882,107,1772,0,39.56,0.00556
glm-5.1,eae4206a,astma_bij_volwassenen,30.0918,982,995,0,33.07,0.00403
glm-5.1,92a56077,astma_bij_volwassenen,50.5512,2881,2326,0,46.01,0.00999
glm-5.1,9b3c0e6b,astma_bij_volwassenen,30.1203,2233,623,0,20.68,0.00411
glm-5.1,b068643b,astma_bij_volwassenen,31.1405,75,1835,0,58.93,0.00573
glm-5.1,48e7cd51,astma_bij_volwassenen,30.032,4955,1992,0,66.33,0.01099
glm-5.1,4cbc2ebd,astma_bij_volwassenen,25.5473,2905,1772,0,69.36,0.0083
glm-5.1,30828961,astma_bij_volwassenen,41.7772,2723,2960,0,70.85,0.01179
